provinceName,isoA2,value
Alberta,CA-AB,4280127
British Columbia,CA-BC,4777157
Manitoba,CA-MB,1328346
New Brunswick,CA-NB,757771
Newfoundland and Labrador,CA-NL,529696
Nova Scotia,CA-NS,44263
Ontario,CA-ON,952024
Prince Edward Island,CA-PE,37280
Quebec,CA-QC,14094167
Saskatchewan,CA-SK,149383
Northwest Territories,CA-NT,8356851
Nunavut,CA-NU,1158339
Yukon,CA-YT,37693
